Subject	Electrode	N400	FullText	Item	Condition
s24	P3	9.0462	That grenade explodes stronger than a stick of this dynasty	Item 146	SemCrit
s24	P3	-3.5393	Despite technological advances, wars cannot be won without an embryo	Item 54	Sem
s24	P3	17.506	The scientist designed an experiment to test a controversial hypothesis	Item 49	Control
s24	P3	5.8791	The herd of cows was out grazing in an altercation	Item 129	Sem
s24	P3	7.4104	The flute player nervously prepared an excerpt for an audition	Item 100	Control
s24	P3	-4.7707	Considering my previous experiences, I had a rather low diplomat	Item 157	Sem
s24	P3	-9.0624	The moth attracted a mate by releasing a potent pheromones	Item 29	Synt
s24	P3	9.3226	The dentist congratulated me on not having a single cavities	Item 16	Synt
s24	P3	-6.9559	Medics cleaned and bandaged the wound to prevent a sapphire	Item 56	Sem
s24	P3	7.7584	Clownfish have evolved invulnerability to the poison tentacles of amenities	Item 7	SemCrit
s24	P3	-10.442	Edith Piaf's extraordinary singing career was begun in a cabarets	Item 104	Synt
s24	P3	6.4117	She danced with an elegant masked gentleman at that masquerades	Item 62	Synt
s24	P3	1.9197	Two important fluids in the body are blood and nymph	Item 82	SemCrit
s24	P3	9.9649	Two common semi-aquatic rodents are a beaver and a muskrat	Item 150	Control
s24	P3	7.3555	There is a beanbag toss game booth at this carnival	Item 12	Control
s24	P3	-8.0704	The heat felt even worse because of all this humility	Item 47	SemCrit
s24	P3	6.3597	No light escapes the black hole once within this radium	Item 112	SemCrit
s24	P3	-7.2206	That white dog with little black spots is a damnation	Item 133	SemCrit
s24	P3	24.248	Rather than reducing violence, the intervention just caused an escalations	Item 153	Synt
s24	P3	14.304	She didn't answer the phone, so I left a messages	Item 137	Synt
s24	P3	1.2637	The cause of death must be determined by a corridor	Item 25	SemCrit
s24	P3	-6.8087	The sudden change in protocol had caused all this consternations	Item 127	Synt
s24	P3	-6.6906	She was vaccinated so her body would developed a mutiny	Item 91	SemCrit
s24	P3	20.207	Political corruption and economic hardship fueled a growing anti-government sentiment	Item 10	Control
s24	P3	-0.89994	The afternoon showing cost less because it was a manatee	Item 60	SemCrit
s24	P3	-1.6416	The museum pass provides five dollars off of each admission	Item 101	Control
s24	P3	-4.8869	The goddess refused to be bested by a mere expectation	Item 94	Sem
s24	P3	7.7565	The teacher interrupted his sentence to make a grammatical mercenary	Item 20	Sem
s24	P3	5.125	The sermon denounced pride and extolled the virtue of humility	Item 48	Control
s24	P3	1.262	The Christmas tree was decorated with many shining glass ornaments	Item 114	Control
s24	P3	21.131	After hours of playing, the guitarist's fingertips developed a catalyst	Item 14	SemCrit
s24	P3	-4.2932	The flooded river fertilized the fields with a rich sediment	Item 9	Control
s24	P3	13.279	The casket was carried to the cemetery in a dilution	Item 45	Sem
s24	P3	2.7418	The reagents reacted faster in the presence of a catalysts	Item 13	Synt
s24	P3	0.1635	An intense tension headache can be mistaken for an empire	Item 21	Sem
s24	P3	6.1642	He soon backed away, sensing he had crossed a manatee	Item 119	Sem
s24	P3	6.4328	Rupert Murdoch is the owner of a vast media umpire	Item 39	SemCrit
s24	P3	-3.1265	A syllogism is a common form of a deductive inferences	Item 123	Synt
s24	P3	5.5385	Capture or kill the wanted criminal to collect a bounty	Item 120	Control
s27	P3	-10.368	Rupert Murdoch is the owner of a vast media meditation	Item 39	Sem
s27	P3	24.047	Disgusted, she pulled away from his touch with a shudder	Item 37	Control
s27	P3	9.6701	He had a short attention span and needed constant stimulations	Item 90	Synt
s27	P3	-0.90726	Political corruption and economic hardship fueled a growing anti-government sediment	Item 10	SemCrit
s27	P3	-8.1675	Some controversial stem cell research requires a fertilized human embargo	Item 76	SemCrit
s27	P3	4.9429	The Big Dipper may perhaps be the most famous constellations	Item 128	Synt
s27	P3	3.9138	She didn't answer the phone, so I left a message	Item 137	Control
s27	P3	12.631	The bleach is too concentrated and requires a one-in-five dilutions	Item 34	Synt
s27	P3	2.9271	Pikemen can be an effective defense against a charging cavalry	Item 15	Control
s27	P3	-1.9853	Like the IRS and FBI, CIA is another three-letter inebriation	Item 95	SemCrit
s27	P3	0.030029	Two important fluids in the body are blood and campaign	Item 82	Sem
s27	P3	-19.185	She was vaccinated so her body would developed a cartoon	Item 91	Sem
s27	P3	-21.758	The celebrating couple joyfully popped open a bottle of champagne	Item 121	Control
s27	P3	5.234	Marie Curie died of exposure to radiation from this radius	Item 111	SemCrit
s27	P3	-3.0342	No light escapes the black hole once within this cabaret	Item 112	Sem
s27	P3	12.615	The coach scolded the player for having a bad attitudes	Item 106	Synt
s27	P3	-3.2139	He idolized her, and her self-esteem benefited from this synthesizer	Item 144	Sem
s27	P3	-5.0458	The afternoon showing cost less because it was a sentiment	Item 60	Sem
s27	P3	-16.525	Rather than reducing violence, the intervention just caused an escalation	Item 153	Control
s27	P3	0.72063	Edith Piaf's extraordinary singing career was begun in a cabaret	Item 104	Control
s27	P3	6.3864	She lunged towards his neck, going right for the juggler	Item 84	SemCrit
s27	P3	-4.8094	Claiming two wrongs make a right is a common excursion	Item 159	Sem
s27	P3	3.7777	I blacked out and was confused when I regained conscience	Item 125	SemCrit
s27	P3	9.6294	Medics cleaned and bandaged the wound to prevent an infections	Item 56	Synt
s27	P3	-0.4355	My back was so tense I really needed a massages	Item 138	Synt
s27	P3	-17.124	The baseball player felt cheated and swore at an empire	Item 40	SemCrit
s27	P3	-4.4854	Intestinal problems may indicate a tapeworm, a type of density	Item 155	Sem
s27	P3	2.2734	The hostess greeted her guests with a light social peasantry	Item 64	SemCrit
s27	P3	5.8428	This docile herbivorous aquatic mammal is known as a manatee	Item 59	Control
s27	P3	-2.777	Apply this eyeliner and brush your lashes with this masquerade	Item 61	SemCrit
s27	P3	-5.6955	You cannot buy Cuban cigars because there is an embargos	Item 75	Synt
s27	P3	-7.0404	A soldier fighting for the highest bidder is a mercenaries	Item 131	Synt
s27	P3	-3.8138	The vintage wedding dress was big and required an alteration	Item 3	Control
s27	P3	-6.5352	The woman brought her sick pet dog to a carton	Item 2	Sem
s27	P3	-2.0553	After my root canal the dentist prescribed a pain medication	Item 17	Control
s27	P3	-5.2658	The zoo had two giraffes, an elephant, and a rhinestone	Item 23	SemCrit
s27	P3	5.3788	The teacher interrupted his sentence to make a grammatical corrections	Item 20	Synt
s27	P3	-6.6489	Agriculture in this desert would be impossible without this caption	Item 78	Sem
s27	P3	22.665	The devout Christian girl travelled to India as a missionary	Item 132	Control
s27	P3	7.0075	Capture or kill the wanted criminal to collect a boundary	Item 120	SemCrit
s27	P3	14.488	The lecherous satyr chased after a beautiful lithe wood nymphs	Item 81	Synt
s27	P3	-14.424	The whining alarm shut off, finally silencing this annoying distraction	Item 35	Control
s27	P3	2.3342	That grenade explodes stronger than a stick of this infamy	Item 146	Sem
s27	P3	-10.225	The Christmas tree was decorated with many shining glass armaments	Item 114	SemCrit
s27	P3	7.0819	To protect herself from the sun, she carried a parasol	Item 156	Control
s27	P3	10.1	The heat felt even worse because of all this catalyst	Item 47	Sem
s27	P3	-12.306	After she deceived her mother, she had a guilty consciousness	Item 126	SemCrit
s27	P3	5.9035	The rice was spiced with a pinch of that sapphire	Item 70	SemCrit
s27	P3	-1.3908	The child made a caterpillar from an old egg campaign	Item 86	Sem
s27	P3	1.5568	The congregation listens to a sermon delivered by a pastors	Item 130	Synt
s27	P3	11.113	The thesaurus shows that a synonym for drunkenness is inebriations	Item 96	Synt
s27	P3	-3.8	The doomsday preacher urged repentance and warned of an apocalypse	Item 148	Control
s27	P3	8.1298	Statisticians emphasize that causation is not implied by a coronation	Item 27	SemCrit
s27	P3	1.8351	The ring held small diamonds set around this blue sapphire	Item 69	Control
s27	P3	7.1821	The retiree found he soon tired of all this leisures	Item 141	Synt
s27	P3	9.3815	Romeo longingly admired Juliet as she stood on this balconies	Item 118	Synt
s27	P3	-8.7594	His personality was dramatically altered after acquiring this brain lesion	Item 142	Control
s27	P3	-13.068	Clownfish have evolved invulnerability to the poison tentacles of ornaments	Item 7	Sem
s27	P3	-10.347	An intense tension headache can be mistaken for a migraines	Item 21	Synt
s27	P3	-6.5796	The flute player nervously prepared an excerpt for an addition	Item 100	SemCrit
s27	P3	-15.068	Senator McCarthy accused the screenwriter of being a Communist fallacy	Item 65	Sem
s27	P3	-0.81095	She scolded the child for running backwards up an escalator	Item 154	Control
s27	P3	11.786	The Caribbean cruise package includes this kayaking and snorkeling excursion	Item 41	Control
s27	P3	-2.3032	The storyteller could turn any incident into an amusing anecdotes	Item 5	Synt
s27	P3	-2.7522	The vicious cyclone tragically caused many deaths and much aluminum	Item 36	Sem
s27	P3	-2.0025	The goddess refused to be bested by a mere mortals	Item 94	Synt
s27	P3	12.219	The study of sounds in language is known as phonology	Item 43	Control
s27	P3	16.484	Up on the tree branch perched a bright red cardinals	Item 11	Synt
s27	P3	-0.72578	The king knelt to be crowned at an official correlation	Item 28	SemCrit
s27	P3	-1.9928	The flooded river fertilized the fields with a rich sentiment	Item 9	SemCrit
s27	P3	0.94031	The cause of death must be determined by a dynasty	Item 25	Sem
s27	P3	-14.125	Blizzards are deadly hazards for explorers on an arctic expeditions	Item 158	Synt
s27	P3	-3.3634	Once Faust signed, he was doomed to this eternal inference	Item 134	Sem
s27	P3	2.1308	The circus featured an acrobat, a clown, and a jugular	Item 83	SemCrit
s27	P3	-4.8156	Feudal lords lived off the labor of an oppressed travesty	Item 63	Sem
s27	P3	6.1325	Cats were the only company for this lonely old spinster	Item 88	Control
s27	P3	1.5899	The princess arrived at the ball in a horse-drawn carriage	Item 109	Control
s27	P3	-2.3594	The pseudoscience of inferring personality from skull measurements is phrenologies	Item 44	Synt
s27	P3	6.7687	The dentist congratulated me on not having a single cavity	Item 16	Control
s27	P3	14.133	After the Holocaust, German history could never escape this antidote	Item 53	Sem
s27	P3	-14.11	After hours of playing, the guitarist's fingertips developed a pasture	Item 14	Sem
s27	P3	-14.584	The powerful cheetah sprinted in pursuit of a baby gazelles	Item 74	Synt
s27	P3	-3.8759	The napalm turned the luscious forest into a fiery inference	Item 124	SemCrit
s27	P3	10.851	I control my fate; I don't have a predetermined density	Item 136	SemCrit
s27	P3	-4.9113	Never stay out past midnight, was his mother's strict admonition	Item 102	Control
s27	P3	-1.9212	He loves me? she wondered, plucking off a daisy coroner	Item 152	Sem
s27	P3	-1.3196	The museum pass provides five dollars off of each admonition	Item 101	SemCrit
s27	P3	1.2973	The artist achieved eternal fame despite not seeking this dilation	Item 52	Sem
s27	P3	4.5975	He soon backed away, sensing he had crossed a boundaries	Item 119	Synt
s27	P3	11.293	The poor stayed poor because of this limited upward mobility	Item 79	Control
s27	P3	14.685	The contraction for ""it is"" needs to include an apostrophes	Item 147	Synt
s27	P3	4.6778	Incensed at the captain, the crew staged a full-scale correlation	Item 92	Sem
s27	P3	-4.7743	A new gravitational theory was proposed by an eminent campaign	Item 32	Sem
s27	P3	-16.485	The soldier rammed gunpowder down the barrel of a muskets	Item 149	Synt
s27	P3	-1.6644	The sailors feared the harsh discipline of this ship caption	Item 98	SemCrit
s27	P3	-1.6736	The crowded urban neighborhood had a very high population density	Item 135	Control
s27	P3	10.997	To make the car accelerate, press down on this pedals	Item 151	Synt
s27	P3	-1.027	That white dog with little black spots is an umpire	Item 133	Sem
s27	P3	-6.589	Someone who has fought in a war is a rhinestone	Item 1	Sem
s27	P3	-6.6534	The herd of cows was out grazing in a pastures	Item 129	Synt
s27	P3	0.13885	The detectives discovered the professor was poisoned with this arsenal	Item 116	SemCrit
s27	P3	-2.0266	The student went to medical school to become a physicians	Item 31	Synt
s27	P3	-14.775	The child wore a glittery crown with a pink rhino	Item 24	SemCrit
s27	P3	10.109	The three kings bore gifts of gold, myrrh, and frankincense	Item 57	Control
s27	P3	0.92357	Her grandmother's pennies inspired her to start a coin correction	Item 19	SemCrit
s27	P3	6.9276	A lolcat is cat photograph with a humorous ungrammatical caption	Item 97	Control
s27	P3	-16.294	The slogan ""change"" was a focus of that presidential damnation	Item 122	Sem
s27	P3	5.2108	Can't you just be quiet? she snapped revealing her irritations	Item 77	Synt
s27	P3	-6.8331	The castle wall was adorned with a beautiful woven abbreviation	Item 67	Sem
s27	P3	1.5661	Considering my previous experiences, I had a rather low expectations	Item 157	Synt
s27	P3	6.5901	The teacher taught that subtraction was the opposite of addition	Item 99	Control
s27	P3	-2.7278	On the mountaintop we felt dizzy because of this altitudes	Item 105	Synt
s27	P3	-4.8913	Soda cans and tin foil are both made of alumni	Item 108	SemCrit
s27	P3	-0.83498000000000006	Old car engines mixed fuel and air in a callus	Item 103	Sem
s27	P3	1.2182	Despite technological advances, wars cannot be won without an infantries	Item 54	Synt
s27	P3	-3.7668	Yuan emperors were Mongolian because Kublai Khan founded this dynamite	Item 145	SemCrit
s27	P3	0.68285	The president of the college handed each graduate a diplomat	Item 139	SemCrit
s27	P3	-3.1491	The computer could read text aloud using a speech synthesizers	Item 66	Synt
s27	P3	4.915	Harvesting crops is often the job of a seasonal migraine	Item 22	SemCrit
s27	P3	-22.06	The soaring eagle circled and glided upwards on a physician	Item 72	Sem
s27	P3	7.615	The archeologists found the mummy of a young Egyptian pharaoh	Item 30	Control
s27	P3	-24.539	Use Pythagoras' theorem to find the length of a cavalry	Item 50	Sem
s27	P3	-8.504	The United States has a large stockpile of nuclear armaments	Item 113	Control
s27	P3	3.9876	The low intensity workout compensated by having a long duration	Item 143	Control
s27	P3	-1.5644	Candidates must be citizens, but that is the only altitude	Item 89	Sem
s27	P3	3.3703	The ambassador who negotiated the deal was a skilled constellation	Item 140	Sem
s27	P3	1.0816	Blackmail is just one of many weapons in this arsenals	Item 115	Synt
s27	P3	-11.03	Each winter evening, the family gathers around a warm alteration	Item 46	Sem
s27	P3	-4.7429	A syllogism is a common form of a deductive inference	Item 123	Control
s27	P3	-9.718	It's alive! he cackled as he animated this monster frankincense	Item 58	SemCrit
s27	P3	-8.5928	Blinking causes a momentary pupil contraction followed by a dilations	Item 33	Synt
s27	P3	2.5605	The upscale apartment was complete with all these modern anemones	Item 8	SemCrit
s27	P3	6.2201	The mason built his own house of brick and mortars	Item 93	Synt
s27	P3	-7.2788	One window on the dilapidated house was missing a shudder	Item 38	SemCrit
s27	P3	5.6348	The college sent out a newsletter to all its dynamite	Item 107	Sem
s27	P3	-9.6831	He had sprinted and was still sweating from this cardinal	Item 42	Sem
s27	P3	5.2209	The reagents reacted faster in the presence of a catalyst	Item 13	Control
s28	P3	12.048	The lecherous satyr chased after a beautiful lithe wood nymphs	Item 81	Synt
s28	P3	5.7569	The whining alarm shut off, finally silencing this annoying distraction	Item 35	Control
s28	P3	0.81497	The vintage wedding dress was big and required an alteration	Item 3	Control
s28	P3	8.4273	After my root canal the dentist prescribed a pain medication	Item 17	Control
s28	P3	3.7206	The teacher interrupted his sentence to make a grammatical corrections	Item 20	Synt
s28	P3	-10.003	The zoo had two giraffes, an elephant, and a rhinestone	Item 23	SemCrit
s28	P3	-10.091	There is a beanbag toss game booth at this cardinal	Item 12	SemCrit
s28	P3	-6.7352	Agriculture in this desert would be impossible without this caption	Item 78	Sem
s28	P3	-1.7855	Apply this eyeliner and brush your lashes with this masquerade	Item 61	SemCrit
s28	P3	-4.2218	Capture or kill the wanted criminal to collect a boundary	Item 120	SemCrit
s28	P3	7.7517	The devout Christian girl travelled to India as a missionary	Item 132	Control
s28	P3	1.308	You cannot buy Cuban cigars because there is an embargos	Item 75	Synt
s28	P3	-10.812	The woman brought her sick pet dog to a carton	Item 2	Sem
s28	P3	-6.3347	The preacher believed drunkenness was the cause of much irrigation	Item 51	Sem
s28	P3	-3.3979	The student had his editorial published in a local pleasantry	Item 73	Sem
s28	P3	-5.3663	A soldier fighting for the highest bidder is a mercenaries	Item 131	Synt
s28	P3	4.8035	His personality was dramatically altered after acquiring this brain lesion	Item 142	Control
s28	P3	-7.1632	The Christmas tree was decorated with many shining glass armaments	Item 114	SemCrit
s28	P3	1.5707	After she deceived her mother, she had a guilty consciousness	Item 126	SemCrit
s28	P3	0.24659	The retiree found he soon tired of all this leisures	Item 141	Synt
s28	P3	11.585	The ring held small diamonds set around this blue sapphire	Item 69	Control
s28	P3	-1.8422	That grenade explodes stronger than a stick of this infamy	Item 146	Sem
s28	P3	1.2023	Clownfish have evolved invulnerability to the poison tentacles of ornaments	Item 7	Sem
s28	P3	3.5507	The congregation listens to a sermon delivered by a pastors	Item 130	Synt
s28	P3	6.6119	The rice was spiced with a pinch of that sapphire	Item 70	SemCrit
s28	P3	12.875	Statisticians emphasize that causation is not implied by a coronation	Item 27	SemCrit
s28	P3	-15.594	The heat felt even worse because of all this catalyst	Item 47	Sem
s28	P3	9.3107	Romeo longingly admired Juliet as she stood on this balconies	Item 118	Synt
s28	P3	-6.6634	To protect herself from the sun, she carried a parasol	Item 156	Control
s28	P3	5.7163	The thesaurus shows that a synonym for drunkenness is inebriations	Item 96	Synt
s28	P3	5.2516	The child made a caterpillar from an old egg campaign	Item 86	Sem
s28	P3	9.1488	The doomsday preacher urged repentance and warned of an apocalypse	Item 148	Control
s28	P3	-10.16	Some controversial stem cell research requires a fertilized human embargo	Item 76	SemCrit
s28	P3	12.951	The celebrating couple joyfully popped open a bottle of champagne	Item 121	Control
s28	P3	2.1493	She didn't answer the phone, so I left a message	Item 137	Control
s28	P3	-6.3871	The Big Dipper may perhaps be the most famous constellations	Item 128	Synt
s28	P3	21.158	Disgusted, she pulled away from his touch with a shudder	Item 37	Control
s28	P3	-16.584	Political corruption and economic hardship fueled a growing anti-government sediment	Item 10	SemCrit
s28	P3	0.083295	Like the IRS and FBI, CIA is another three-letter inebriation	Item 95	SemCrit
s28	P3	-4.7724	The casket was carried to the cemetery in a hearses	Item 45	Synt
s28	P3	6.121	No light escapes the black hole once within this cabaret	Item 112	Sem
s28	P3	-5.5318	She was vaccinated so her body would developed a cartoon	Item 91	Sem
s28	P3	6.6535	The bleach is too concentrated and requires a one-in-five dilutions	Item 34	Synt
s28	P3	7.5813	He had a short attention span and needed constant stimulations	Item 90	Synt
s28	P3	2.2367	Rupert Murdoch is the owner of a vast media meditation	Item 39	Sem
s28	P3	2.6472	Pikemen can be an effective defense against a charging cavalry	Item 15	Control
s28	P3	3.9288	Marie Curie died of exposure to radiation from this radius	Item 111	SemCrit
s28	P3	-0.59922	Two important fluids in the body are blood and campaign	Item 82	Sem
s28	P3	-2.1592	I control my fate; I don't have a predetermined density	Item 136	SemCrit
s28	P3	-0.46569	Don't call it a prison; call it a correctional fallacy	Item 160	SemCrit
s28	P3	1.5666	Never stay out past midnight, was his mother's strict admonition	Item 102	Control
s28	P3	-1.3055	The powerful cheetah sprinted in pursuit of a baby gazelles	Item 74	Synt
s28	P3	-2.9363	Once Faust signed, he was doomed to this eternal inference	Item 134	Sem
s28	P3	-7.5414	Feudal lords lived off the labor of an oppressed travesty	Item 63	Sem
s28	P3	10.007	The napalm turned the luscious forest into a fiery inference	Item 124	SemCrit
s28	P3	14.852	The pseudoscience of inferring personality from skull measurements is phrenologies	Item 44	Synt
s28	P3	2.5055	Mediators prevented the dispute from escalating into a violent altercations	Item 4	Synt
s28	P3	-1.3232	Blizzards are deadly hazards for explorers on an arctic expeditions	Item 158	Synt
s28	P3	13.933	The dentist congratulated me on not having a single cavity	Item 16	Control
s28	P3	1.477	After the Holocaust, German history could never escape this antidote	Item 53	Sem
s28	P3	1.1811	Cats were the only company for this lonely old spinster	Item 88	Control
s28	P3	-1.8341	After hours of playing, the guitarist's fingertips developed a pasture	Item 14	Sem
s28	P3	-1.9689	The circus featured an acrobat, a clown, and a jugular	Item 83	SemCrit
s28	P3	0.026233	The princess arrived at the ball in a horse-drawn carriage	Item 109	Control
s28	P3	6.5572	The flute player nervously prepared an excerpt for an addition	Item 100	SemCrit
s28	P3	-9.2819	He denounced the novel's film adaptation as a complete diploma	Item 68	Sem
s28	P3	9.4004	The printer needed more paper and a new ink cartridge	Item 110	Control
s28	P3	19.375	The study of sounds in language is known as phonology	Item 43	Control
s28	P3	3.212	The flooded river fertilized the fields with a rich sentiment	Item 9	SemCrit
s28	P3	1.7217	The vicious cyclone tragically caused many deaths and much aluminum	Item 36	Sem
s28	P3	-2.7072	Up on the tree branch perched a bright red cardinals	Item 11	Synt
s28	P3	3.9874	The Caribbean cruise package includes this kayaking and snorkeling excursion	Item 41	Control
s28	P3	-6.1626	The cause of death must be determined by a dynasty	Item 25	Sem
s28	P3	7.2694	The sermon denounced pride and extolled the virtue of humidity	Item 48	SemCrit
s28	P3	7.8838	The king knelt to be crowned at an official correlation	Item 28	SemCrit
s28	P3	10.818	Senator McCarthy accused the screenwriter of being a Communist fallacy	Item 65	Sem
s28	P3	6.1896	The storyteller could turn any incident into an amusing anecdotes	Item 5	Synt
s28	P3	0.44926	She scolded the child for running backwards up an escalator	Item 154	Control
s28	P3	-1.4399	An intense tension headache can be mistaken for a migraines	Item 21	Synt
s28	P3	-0.84195	The goddess refused to be bested by a mere mortals	Item 94	Synt
s28	P3	4.1893	The three kings bore gifts of gold, myrrh, and frankincense	Item 57	Control
s28	P3	-2.9562	That white dog with little black spots is an umpire	Item 133	Sem
s28	P3	8.7506	Her grandmother's pennies inspired her to start a coin correction	Item 19	SemCrit
s28	P3	-6.1535	The scientist designed an experiment to test a controversial hypotenuse	Item 49	SemCrit
s28	P3	7.8477	The herd of cows was out grazing in a pastures	Item 129	Synt
s28	P3	3.8587	Can't you just be quiet? she snapped revealing her irritations	Item 77	Synt
s28	P3	2.2486	The castle wall was adorned with a beautiful woven abbreviation	Item 67	Sem
s28	P3	1.2252	Someone who has fought in a war is a rhinestone	Item 1	Sem
s28	P3	15.714	A lolcat is cat photograph with a humorous ungrammatical caption	Item 97	Control
s28	P3	1.4038	The child wore a glittery crown with a pink rhino	Item 24	SemCrit
s28	P3	8.0332	Considering my previous experiences, I had a rather low expectations	Item 157	Synt
s28	P3	-7.1926	The detectives discovered the professor was poisoned with this arsenal	Item 116	SemCrit
s28	P3	5.9776	The teacher taught that subtraction was the opposite of addition	Item 99	Control
s28	P3	7.7198	She danced with an elegant masked gentleman at that masquerade	Item 62	Control
s28	P3	-18.462	The slogan ""change"" was a focus of that presidential damnation	Item 122	Sem
s28	P3	4.7615	The student went to medical school to become a physicians	Item 31	Synt
s28	P3	5.0754	The contraction for ""it is"" needs to include an apostrophes	Item 147	Synt
s28	P3	20.43	The cheapest lunchmeat at this grocery store is this baloney	Item 117	Control
s28	P3	4.2728	Handling the rough wooden plank gave the woman a spinster	Item 87	SemCrit
s28	P3	-0.089358	The museum pass provides five dollars off of each admonition	Item 101	SemCrit
s28	P3	-4.6021	The crowded urban neighborhood had a very high population density	Item 135	Control
s28	P3	1.8522	A new gravitational theory was proposed by an eminent campaign	Item 32	Sem
s28	P3	18.282	He soon backed away, sensing he had crossed a boundaries	Item 119	Synt
s28	P3	6.754	To make the car accelerate, press down on this pedals	Item 151	Synt
s28	P3	-14.271	He loves me? she wondered, plucking off a daisy coroner	Item 152	Sem
s28	P3	9.9985	Incensed at the captain, the crew staged a full-scale correlation	Item 92	Sem
s28	P3	-5.2999	The artist achieved eternal fame despite not seeking this dilation	Item 52	Sem
s28	P3	0.70693	The sailors feared the harsh discipline of this ship caption	Item 98	SemCrit
s28	P3	14.037	The soldier rammed gunpowder down the barrel of a muskets	Item 149	Synt
s28	P3	4.4458	The poor stayed poor because of this limited upward mobility	Item 79	Control
s28	P3	-5.2101	She saved him from the poison by administering an anecdote	Item 6	SemCrit
s28	P3	-0.95984	For lunch, she had brought tomato soup in a thermos	Item 71	Control
s28	P3	-11.297	The low intensity workout compensated by having a long duration	Item 143	Control
s28	P3	4.0815	Soda cans and tin foil are both made of alumni	Item 108	SemCrit
s28	P3	2.0102	Harvesting crops is often the job of a seasonal migraine	Item 22	SemCrit
s28	P3	-4.4152	The soaring eagle circled and glided upwards on a physician	Item 72	Sem
s28	P3	-2.0865	Old car engines mixed fuel and air in a callus	Item 103	Sem
s28	P3	-6.5688	Despite technological advances, wars cannot be won without an infantries	Item 54	Synt
s28	P3	0.11162	The United States has a large stockpile of nuclear armaments	Item 113	Control
s28	P3	-8.5105	Use Pythagoras' theorem to find the length of a cavalry	Item 50	Sem
s28	P3	5.6541	The moth attracted a mate by releasing a potent pheromone	Item 29	Control
s28	P3	10.154	The president of the college handed each graduate a diplomat	Item 139	SemCrit
s28	P3	3.3217	Yuan emperors were Mongolian because Kublai Khan founded this dynamite	Item 145	SemCrit
s28	P3	-5.761	Candidates must be citizens, but that is the only altitude	Item 89	Sem
s28	P3	-13.997	Oh, yes, very impressive, she drawled with a sarcastic inflections	Item 55	Synt
s28	P3	-2.0299	The archeologists found the mummy of a young Egyptian pharaoh	Item 30	Control
s28	P3	-2.5243	The computer could read text aloud using a speech synthesizers	Item 66	Synt
s28	P3	21.823	On the mountaintop we felt dizzy because of this altitudes	Item 105	Synt
s28	P3	0.023708	Claiming two wrongs make a right is a common excursion	Item 159	Sem
s28	P3	7.8143	Edith Piaf's extraordinary singing career was begun in a cabaret	Item 104	Control
s28	P3	-5.7302	The baseball player felt cheated and swore at an empire	Item 40	SemCrit
s28	P3	-4.1378	Champagne was once reserved exclusively for the royalty and nobilities	Item 80	Synt
s28	P3	0.28774	Rather than reducing violence, the intervention just caused an escalation	Item 153	Control
s28	P3	-0.89826	He idolized her, and her self-esteem benefited from this synthesizer	Item 144	Sem
s28	P3	4.4979	Medics cleaned and bandaged the wound to prevent an infections	Item 56	Synt
s28	P3	-4.5679	The coach scolded the player for having a bad attitudes	Item 106	Synt
s28	P3	3.9296	I blacked out and was confused when I regained conscience	Item 125	SemCrit
s28	P3	6.0714	My back was so tense I really needed a massages	Item 138	Synt
s28	P3	4.331	The monk sat quietly and fell into a deep meditation	Item 18	Control
s28	P3	11.742	She lunged towards his neck, going right for the juggler	Item 84	SemCrit
s28	P3	-8.7052	Intestinal problems may indicate a tapeworm, a type of density	Item 155	Sem
s28	P3	-12.283	The hostess greeted her guests with a light social peasantry	Item 64	SemCrit
s28	P3	4.1795	The afternoon showing cost less because it was a sentiment	Item 60	Sem
s28	P3	1.3442	In the nineties, the Rugrats was a very popular cartoon	Item 85	Control
s28	P3	-5.0529	The college sent out a newsletter to all its dynamite	Item 107	Sem
s28	P3	4.3195	The reagents reacted faster in the presence of a catalyst	Item 13	Control
s28	P3	-7.7808	One window on the dilapidated house was missing a shudder	Item 38	SemCrit
s28	P3	4.9105	A syllogism is a common form of a deductive inference	Item 123	Control
s28	P3	-3.8596	The ambassador who negotiated the deal was a skilled constellation	Item 140	Sem
s28	P3	-1.0363	Blackmail is just one of many weapons in this arsenals	Item 115	Synt
s28	P3	10.763	Two common semi-aquatic rodents are a beaver and a musket	Item 150	SemCrit
s28	P3	1.6075	The sudden change in protocol had caused all this consternation	Item 127	Control
s28	P3	-2.6021	Each winter evening, the family gathers around a warm alteration	Item 46	Sem
s28	P3	0.67379	Blinking causes a momentary pupil contraction followed by a dilations	Item 33	Synt
s28	P3	-4.6508	He had sprinted and was still sweating from this cardinal	Item 42	Sem
s28	P3	2.115	It's alive! he cackled as he animated this monster frankincense	Item 58	SemCrit
s28	P3	-5.4961	The mason built his own house of brick and mortars	Item 93	Synt
s28	P3	-15.423	The upscale apartment was complete with all these modern anemones	Item 8	SemCrit
s28	P3	0.92541	His office is down at the end of this corridors	Item 26	Synt
s29	P3	0.90843	Capture or kill the wanted criminal to collect a bounty	Item 120	Control
s29	P3	3.6097	He soon backed away, sensing he had crossed a manatee	Item 119	Sem
s29	P3	3.2658	The ambassador who negotiated the deal was a skilled diploma	Item 140	SemCrit
s29	P3	3.0282	The Christmas tree was decorated with many shining glass ornaments	Item 114	Control
s29	P3	8.7741	A syllogism is a common form of a deductive inferences	Item 123	Synt
s29	P3	-4.1016	The casket was carried to the cemetery in a dilution	Item 45	Sem
